Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-10-28""";22.8;17.4;3.2;19.28;75.0;2.9
"""1993-10-29""";24.3;17.0;6.5;20.32;69.25;2.2
"""1993-10-30""";26.3;17.2;10.8;21.32;62.5;1.9666669999999997
"""1993-10-31""";29.3;17.8;NA;23.36;58.25;1.566667
"""1993-01-11""";32.5;19.2;11.1;26.2;50.25;0.65
"""1993-02-11""";34.2;21.0;10.7;25.86;59.0;2.233333
"""1993-03-11""";29.2;14.9;5.2;20.92;68.5;1.9
"""1993-04-11""";28.6;15.0;9.7;22.38;60.25;2.066667
"""1993-05-11""";28.2;18.8;11.0;23.5;59.0;1.7
"""1993-06-11""";31.4;20.4;9.5;25.4;53.0;2.066667
"""1993-07-11""";28.5;19.0;3.7;23.72;68.5;0.966667
"""1993-08-11""";25.2;18.2;0.0;22.22;74.75;1.166667
"""1993-09-11""";27.8;19.6;7.9;23.02;67.25;2.9666669999999997
"""1993-10-11""";24.2;18.4;3.6;21.02;70.25;2.4666669999999997
"""1993-11-11""";26.9;18.4;9.6;22.24;54.75;3.5
"""1993-12-11""";27.1;18.6;10.8;22.68;51.75;3.3
"""1993-11-13""";27.7;18.4;10.4;22.76;52.0;1.8666669999999999
"""1993-11-14""";29.2;18.6;11.8;23.88;53.25;2.233333
"""1993-11-15""";31.6;20.4;11.6;25.9;43.25;2.166667
"""1993-11-16""";31.9;21.2;10.9;26.4;44.75;1.9
"""1993-11-17""";32.0;21.8;7.0;26.86;52.75;1.3
"""1993-11-18""";32.1;22.4;7.5;25.6;70.0;2.1
"""1993-11-19""";30.7;20.4;4.7;25.04;68.0;1.266667
"""1993-11-20""";25.5;20.9;3.1;22.48;82.25;1.8666669999999999
"""1993-11-21""";26.9;20.4;6.3;23.36;71.75;2.3666669999999996
"""1993-11-22""";27.6;20.2;8.1;23.3;67.25;1.9
"""1993-11-23""";29.1;20.2;6.8;24.04;61.25;2.233333
"""1993-11-24""";27.3;20.8;4.4;24.0;62.5;2.4
"""1993-11-25""";28.6;21.8;5.5;24.86;64.0;1.8666669999999999
"""1993-11-26""";27.8;19.0;4.6;21.34;86.0;1.066667
"""1993-11-27""";25.2;18.8;2.1;21.52;93.0;2.066667
"""1993-11-28""";29.1;17.9;6.9;23.18;72.5;3.0
"""1993-11-29""";32.0;20.0;11.9;25.9;49.75;1.566667
"""1993-11-30""";32.8;21.0;11.6;26.74;53.25;2.0333330000000003
"""1993-01-12""";31.4;22.5;7.9;25.64;61.5;2.4
"""1993-02-12""";30.6;21.6;5.6;26.18;62.0;2.1
"""1993-03-12""";28.2;19.8;5.3;22.74;81.75;1.7
"""1993-04-12""";27.2;20.0;5.2;23.78;59.25;2.5
"""1993-05-12""";28.6;18.2;10.3;22.02;73.25;1.8666669999999999
"""1993-06-12""";28.6;18.2;7.2;23.78;59.5;2.0333330000000003
"""1993-07-12""";28.5;18.6;11.2;23.84;56.5;2.066667
"""1993-08-12""";31.2;19.4;9.3;25.62;54.25;1.8
"""1993-09-12""";32.7;19.0;8.0;23.36;70.75;1.333333
"""1993-10-12""";29.3;18.8;5.1;23.24;78.25;2.733333
